year,source,word,n,doc,tf,idf,tf_idf
2021,prs,gdp,31,2021 prs,0.013826940231935772,0.44183275227903923,0.006109195058273959
2021,prs,actuals,16,2021 prs,0.007136485280999108,0.8472978603872037,0.006046728709275317
2021,prs,deficit,39,2021 prs,0.017395182872435324,0.3364722366212129,0.005852996087523328
2021,prs,allocation,29,2021 prs,0.012934879571810883,0.44183275227903923,0.005715053441611123
2021,prs,subsidy,18,2021 prs,0.008028545941123996,0.6931471805599453,0.005564963983086091
2021,prs,receipts,28,2021 prs,0.012488849241748439,0.44183275227903923,0.005517982633279705
2021,prs,covid,8,2021 prs,0.003568242640499554,1.540445040947149,0.005496681680453699
2021,prs,increase,35,2021 prs,0.015611061552185548,0.3364722366212129,0.005252688796495294
2021,prs,fiscal,33,2021 prs,0.014719000892060661,0.3364722366212129,0.004952535150981279
2021,prs,commission,16,2021 prs,0.007136485280999108,0.6931471805599453,0.004946634651632081
2021,prs,estate,4,2021 prs,0.001784121320249777,2.6390573296152584,0.0047083984471280255
2021,prs,due,12,2021 prs,0.0053523639607493305,0.8472978603872037,0.004535046531956487
2021,prs,sources,12,2021 prs,0.0053523639607493305,0.8472978603872037,0.004535046531956487
2021,prs,criteria,5,2021 prs,0.0022301516503122213,1.9459101490553132,0.004339674730275007
2021,prs,act,17,2021 prs,0.007582515611061552,0.5596157879354227,0.004243295448216853
2021,prs,disinvestment,11,2021 prs,0.004906333630686887,0.8472978603872037,0.00415712598762678
2021,prs,welfare,9,2021 prs,0.004014272970561998,1.0296194171811581,0.004133173396356121
2021,prs,recommendations,6,2021 prs,0.0026761819803746653,1.540445040947149,0.004122511260340273
2021,prs,debt,13,2021 prs,0.005798394290811775,0.6931471805599453,0.004019140654451065
2021,prs,food,13,2021 prs,0.005798394290811775,0.6931471805599453,0.004019140654451065
2021,prs,demographic,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,internal,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,performance,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,record,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,suggested,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,vaccination,3,2021 prs,0.0013380909901873326,2.6390573296152584,0.003531298835346019
2021,prs,create,4,2021 prs,0.001784121320249777,1.9459101490553132,0.003471739784220006
2021,prs,recommended,4,2021 prs,0.001784121320249777,1.9459101490553132,0.003471739784220006
2021,prs,population,5,2021 prs,0.0022301516503122213,1.540445040947149,0.0034354260502835617
2021,prs,budgetary,6,2021 prs,0.0026761819803746653,1.252762968495368,0.0033526216819679787
2021,prs,extra,6,2021 prs,0.0026761819803746653,1.252762968495368,0.0033526216819679787
2021,prs,borrowings,17,2021 prs,0.007582515611061552,0.44183275227903923,0.0033502037416341065
2021,prs,allocations,7,2021 prs,0.0031222123104371097,1.0296194171811581,0.003214690419388094
2021,prs,corporation,7,2021 prs,0.0031222123104371097,1.0296194171811581,0.003214690419388094
2021,prs,jal,7,2021 prs,0.0031222123104371097,1.0296194171811581,0.003214690419388094
2021,prs,ministries,7,2021 prs,0.0031222123104371097,1.0296194171811581,0.003214690419388094
2021,prs,report,7,2021 prs,0.0031222123104371097,1.0296194171811581,0.003214690419388094
2021,prs,stage,7,2021 prs,0.0031222123104371097,1.0296194171811581,0.003214690419388094
2021,prs,mission,16,2021 prs,0.007136485280999108,0.44183275227903923,0.0031531329333026885
2021,prs,change,10,2021 prs,0.0044603033006244425,0.6931471805599453,0.0030916466572700504
2021,prs,education,9,2021 prs,0.004014272970561998,0.6931471805599453,0.0027824819915430454
2022,ecosurvey,english,1,2022 ecosurvey,0.0625,2.6390573296152584,0.16494108310095365
2022,ecosurvey,kannada,1,2022 ecosurvey,0.0625,2.6390573296152584,0.16494108310095365
2022,ecosurvey,manipuri,1,2022 ecosurvey,0.0625,2.6390573296152584,0.16494108310095365
2022,ecosurvey,delhi,2,2022 ecosurvey,0.125,1.252762968495368,0.156595371061921
2022,ecosurvey,feb,2,2022 ecosurvey,0.125,1.252762968495368,0.156595371061921
2022,ecosurvey,bengali,1,2022 ecosurvey,0.0625,1.9459101490553132,0.12161938431595708
2022,ecosurvey,gujarati,1,2022 ecosurvey,0.0625,1.9459101490553132,0.12161938431595708
2022,ecosurvey,malayalam,1,2022 ecosurvey,0.0625,1.9459101490553132,0.12161938431595708
2022,ecosurvey,punjabi,1,2022 ecosurvey,0.0625,1.9459101490553132,0.12161938431595708
2022,ecosurvey,telugu,1,2022 ecosurvey,0.0625,1.9459101490553132,0.12161938431595708
2022,ecosurvey,marathi,1,2022 ecosurvey,0.0625,1.540445040947149,0.09627781505919682
2022,ecosurvey,tamil,1,2022 ecosurvey,0.0625,1.0296194171811581,0.06435121357382238
2022,ecosurvey,bureau,1,2022 ecosurvey,0.0625,0.8472978603872037,0.05295611627420023
2022,ecosurvey,information,1,2022 ecosurvey,0.0625,0.24116205681688804,0.015072628551055503
2022,prs,revised,53,2022 prs,0.03414948453608247,0.5596157879354227,0.019110590696248323
2022,prs,estimate,36,2022 prs,0.023195876288659795,0.5596157879354227,0.012980778586130939
2022,prs,estimated,36,2022 prs,0.023195876288659795,0.44183275227903923,0.010248697862142662
2022,prs,budgeted,22,2022 prs,0.014175257731958763,0.6931471805599453,0.009825539930617782
2022,prs,expenditure,44,2022 prs,0.028350515463917526,0.3364722366212129,0.009539161347508613
2022,prs,tax,30,2022 prs,0.019329896907216496,0.44183275227903923,0.008540581551785553
2022,prs,revenue,29,2022 prs,0.018685567010309278,0.44183275227903923,0.008255895500059366
2022,prs,gdp,27,2022 prs,0.017396907216494846,0.44183275227903923,0.007686523396606997
2022,prs,subsidy,17,2022 prs,0.01095360824742268,0.6931471805599453,0.007592462673659194
2022,prs,digital,6,2022 prs,0.003865979381443299,1.9459101490553132,0.007522848514389098
2022,prs,receipts,25,2022 prs,0.01610824742268041,0.44183275227903923,0.007117151293154626
2022,prs,increase,31,2022 prs,0.01997422680412371,0.3364722366212129,0.0067207727675628855
2022,prs,estimates,18,2022 prs,0.011597938144329897,0.5596157879354227,0.0064903892930654695
2022,prs,decrease,11,2022 prs,0.007087628865979381,0.8472978603872037,0.006005332773362912
2022,prs,deficit,27,2022 prs,0.017396907216494846,0.3364722366212129,0.00585357628142574
2022,prs,ministries,8,2022 prs,0.005154639175257732,1.0296194171811581,0.005307316583408031
2022,prs,stage,8,2022 prs,0.005154639175257732,1.0296194171811581,0.005307316583408031
2022,prs,allocation,18,2022 prs,0.011597938144329897,0.44183275227903923,0.005124348931071331
2022,prs,ecosystem,3,2022 prs,0.0019329896907216496,2.6390573296152584,0.0051012706113697
2022,prs,ltcg,3,2022 prs,0.0019329896907216496,2.6390573296152584,0.0051012706113697
2022,prs,replaced,4,2022 prs,0.002577319587628866,1.9459101490553132,0.005015232342926065
2022,prs,sources,9,2022 prs,0.005798969072164949,0.8472978603872037,0.004913454087296929
2022,prs,scheme,17,2022 prs,0.01095360824742268,0.44183275227903923,0.004839662879345146
2022,prs,income,13,2022 prs,0.008376288659793814,0.5596157879354227,0.0046875033783250605
2022,prs,subsidies,10,2022 prs,0.006443298969072165,0.6931471805599453,0.004466154513917173
2022,prs,actuals,8,2022 prs,0.005154639175257732,0.8472978603872037,0.004367514744263936
2022,prs,change,9,2022 prs,0.005798969072164949,0.6931471805599453,0.004019539062525456
2022,prs,food,9,2022 prs,0.005798969072164949,0.6931471805599453,0.004019539062525456
2022,prs,allocations,6,2022 prs,0.003865979381443299,1.0296194171811581,0.003980487437556024
2022,prs,highways,6,2022 prs,0.003865979381443299,1.0296194171811581,0.003980487437556024
2022,prs,mantri,6,2022 prs,0.003865979381443299,1.0296194171811581,0.003980487437556024
2022,prs,pradhan,6,2022 prs,0.003865979381443299,1.0296194171811581,0.003980487437556024
2022,prs,transport,6,2022 prs,0.003865979381443299,1.0296194171811581,0.003980487437556024
2022,prs,welfare,6,2022 prs,0.003865979381443299,1.0296194171811581,0.003980487437556024
2022,prs,poshan,4,2022 prs,0.002577319587628866,1.540445040947149,0.003970219177698838
2022,prs,surcharge,4,2022 prs,0.002577319587628866,1.540445040947149,0.003970219177698838
2022,prs,loans,11,2022 prs,0.007087628865979381,0.5596157879354227,0.003966349012428897
2022,prs,operatives,3,2022 prs,0.0019329896907216496,1.9459101490553132,0.003761424257194549
2022,prs,borrowings,13,2022 prs,0.008376288659793814,0.44183275227903923,0.003700918672440406
2022,prs,fiscal,17,2022 prs,0.01095360824742268,0.3364722366212129,0.003685585066082873
2022,prs,health,10,2022 prs,0.006443298969072165,0.5596157879354227,0.003605771829480816
2022,prs,expected,12,2022 prs,0.007731958762886598,0.44183275227903923,0.003416232620714221
2022,prs,east,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,ebr,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,forestry,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,gatishakti,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,insolvency,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,linking,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,mental,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2022,prs,river,2,2022 prs,0.001288659793814433,2.6390573296152584,0.003400847074246467
2023,ecosurvey,waste,38,2023 ecosurvey,0.0628099173553719,1.540445040947149,0.09675522571238292
2023,ecosurvey,plants,16,2023 ecosurvey,0.026446280991735537,2.6390573296152584,0.06979325169230435
2023,ecosurvey,million,14,2023 ecosurvey,0.023140495867768594,2.6390573296152584,0.061069095230766306
2023,ecosurvey,bio,16,2023 ecosurvey,0.026446280991735537,1.9459101490553132,0.0514620865865868
2023,ecosurvey,eil,10,2023 ecosurvey,0.01652892561983471,2.6390573296152584,0.043620782307690224
2023,ecosurvey,methanation,10,2023 ecosurvey,0.01652892561983471,2.6390573296152584,0.043620782307690224
2023,ecosurvey,solid,12,2023 ecosurvey,0.019834710743801654,1.9459101490553132,0.0385965649399401
2023,ecosurvey,mohua,8,2023 ecosurvey,0.013223140495867768,2.6390573296152584,0.03489662584615218
2023,ecosurvey,cng,6,2023 ecosurvey,0.009917355371900827,2.6390573296152584,0.026172469384614136
2023,ecosurvey,gobardhan,6,2023 ecosurvey,0.009917355371900827,2.6390573296152584,0.026172469384614136
2023,ecosurvey,municipal,8,2023 ecosurvey,0.013223140495867768,1.540445040947149,0.02036952120260693
2023,ecosurvey,circularity,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,dry,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,fraction,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,handhold,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,mou,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,processing,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,renewable,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,signed,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,tpd,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,wet,4,2023 ecosurvey,0.006611570247933884,2.6390573296152584,0.01744831292307609
2023,ecosurvey,assist,4,2023 ecosurvey,0.006611570247933884,1.9459101490553132,0.0128655216466467
2023,ecosurvey,director,4,2023 ecosurvey,0.006611570247933884,1.9459101490553132,0.0128655216466467
