budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,pm_name,government_coalition,full_url,pdf_filename,download_status,word_count
2016-17,2016,full,Arun Jaitley,BJP,BJP,Narendra Modi,NDA-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201617.pdf,bs201617.pdf,success,24733
2017-18,2017,full,Arun Jaitley,BJP,BJP,Narendra Modi,NDA-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201718.pdf,bs201718.pdf,success,18930
2018-19,2018,full,Arun Jaitley,BJP,BJP,Narendra Modi,NDA-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201819.pdf,bs201819.pdf,success,18099
2019-20,2019,interim,Piyush Goyal,BJP,BJP,Narendra Modi,NDA-III,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201920(I).pdf,bs201920_I_.pdf,success,8178
2019-20,2019,full,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-IV,https://www.indiabudget.gov.in/budget2019-20/doc/bspeech/bs201920.pdf,bs201920.pdf,success,20259
2020-21,2020,full,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-IV,https://www.indiabudget.gov.in/budget2020-21/doc/Budget_Speech.pdf,Budget_Speech_2020-21.pdf,success,21147
2021-22,2021,full,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-IV,https://www.indiabudget.gov.in/budget2021-22/doc/Budget_Speech.pdf,Budget_Speech_2021-22.pdf,success,17310
2022-23,2022,full,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-IV,https://www.indiabudget.gov.in/budget2022-23/doc/Budget_Speech.pdf,Budget_Speech_2022-23.pdf,success,10110
2023-24,2023,full,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-IV,https://www.indiabudget.gov.in/budget2023-24/doc/Budget_Speech.pdf,Budget_Speech_2023-24.pdf,success,14043
2024-25,2024,full,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-V,https://www.indiabudget.gov.in/budget2024-25/doc/Budget_Speech.pdf,Budget_Speech_2024-25.pdf,success,14972
2025-26,2025,full,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/budget2025-26/doc/Budget_Speech.pdf,Budget_Speech_2025-26.pdf,success,14612
2026-27,2026,full,NA,NA,NA,NA,NA,https://www.indiabudget.gov.in/doc/Budget_Speech.pdf,Budget_Speech_2026-27.pdf,success,15817
2024-25,2024,interim,Nirmala Sitharaman,BJP,BJP,Narendra Modi,NDA-IV,https://www.indiabudget.gov.in/budget2024-25(I)/doc/Budget_Speech.pdf,Budget_Speech_2024-25_interim.pdf,success,5384
