doc_id,budget_year,fy_start,budget_type,fm_name,fm_party,fm_party_family,topic,prevalence,topic_num
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_7,5.241126660953877e-4,7
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_8,0.0030525915916055626,8
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_9,0.9436610652848693,9
bs201718,2017-18,2017,full,Arun Jaitley,BJP,BJP,topic_10,4.30427632194013e-4,10
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_1,3.628648768590661e-4,1
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_2,4.2674222205878437e-4,2
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_3,0.005172472520495244,3
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_4,0.17259324571738952,4
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_5,0.8067343835031295,5
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_6,9.236213682038611e-5,6
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_7,7.2624526781104e-4,7
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_8,0.013327216152617047,8
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_9,1.705081127457384e-4,9
bs198081,1980-81,1980,full,R. Venkataraman,INC,INC,topic_10,3.93959490073419e-4,10
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_1,2.5061464836331928e-5,1
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_2,7.695586136728562e-4,2
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_3,8.026335548014941e-5,3
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_4,2.299487013129352e-7,4
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_5,5.605145357805088e-4,5
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_6,0.9978199603224953,6
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_7,3.8778254455798555e-5,7
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_8,7.640149512135719e-5,8
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_9,3.9059059027911873e-4,9
bs200203,2002-03,2002,full,Jaswant Singh,BJP,BJP,topic_10,2.3864141917658672e-4,10
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_1,2.0065097802035752e-5,1
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_2,4.178921057779731e-4,2
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_3,1.710917506374504e-4,3
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_4,1.9812510888283534e-4,4
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_5,4.551098553555223e-4,5
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_6,0.0030256084062841465,6
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_7,1.4066208254520413e-4,7
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_8,1.8075132708224556e-4,8
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_9,0.869003871123427,9
bs201516,2015-16,2015,full,Arun Jaitley,BJP,BJP,topic_10,0.12638682314220565,10
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_1,6.134900197105329e-6,1
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_2,0.0014301459362590153,2
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_3,1.23578928595673e-4,3
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_4,5.313417416828833e-7,4
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_5,5.568118370374255e-4,5
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_6,0.5951847639519817,6
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_7,1.725634326561914e-4,7
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_8,1.0193970859531249e-4,8
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_9,5.085137506033765e-4,9
bs199697,1996-97,1996,full,P. Chidambaram,TMC,INC,topic_10,0.4019150162123326,10
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_1,5.412459569915271e-6,1
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_2,8.673280441814684e-4,2
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_3,1.234809388646761e-4,3
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_4,7.143980485027639e-7,4
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_5,4.26772420365377e-4,5
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_6,0.4756629425226799,6
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_7,1.7926765207636615e-4,7
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_8,1.0332212434507997e-4,8
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_9,6.265185290061932e-4,9
bs199798,1997-98,1997,full,P. Chidambaram,TMC,INC,topic_10,0.5220042409108626,10
bs201415,2014-15,2014,full,Arun Jaitley,BJP,BJP,topic_1,5.0516233768008086e-5,1
bs201415,2014-15,2014,full,Arun Jaitley,BJP,BJP,topic_2,3.616118029812835e-4,2
