word,es_tf,bs_tf,year,shared
sector,0.008848319518763333,0.008753932430584052,2014,0.008753932430584052
development,0.005036197670758577,0.006975789905621666,2014,0.005036197670758577
growth,0.011383905151610535,0.0042401860210641495,2014,0.0042401860210641495
investment,0.004126884202427168,0.0038298454383805225,2014,0.0038298454383805225
infrastructure,0.0037421746581331097,0.004376966215292026,2014,0.0037421746581331097
tax,0.0031476235442241107,0.009301053207495554,2014,0.0031476235442241107
capital,0.003462385898646522,0.0030091642730132677,2014,0.0030091642730132677
increase,0.0026754800125904942,0.0031459444672411437,2014,0.0026754800125904942
plan,0.0023432308607001713,0.0023252633018738885,2014,0.0023252633018738885
term,0.002290770468296436,0.0025988236903296403,2014,0.002290770468296436
scheme,0.0022033364809568774,0.004376966215292026,2014,0.0022033364809568774
private,0.0024656384429755534,0.002188483107646013,2014,0.002188483107646013
rate,0.004441646556849578,0.002188483107646013,2014,0.002188483107646013
services,0.0066799566327422795,0.002188483107646013,2014,0.002188483107646013
investment,0.003985697415037397,0.005164622336991607,2015,0.003985697415037397
tax,0.003920089227135546,0.019496449322143318,2015,0.003920089227135546
services,0.007594147749639155,0.003615235635894125,2015,0.003615235635894125
growth,0.011579845164676552,0.003486120077469335,2015,0.003486120077469335
public,0.004100511743865634,0.003357004519044545,2015,0.003357004519044545
financial,0.0032312032541661198,0.003357004519044545,2015,0.0032312032541661198
rate,0.003083584831386957,0.004002582311168496,2015,0.003083584831386957
increase,0.0027555438918777063,0.003486120077469335,2015,0.0027555438918777063
development,0.004051305602939247,0.0025823111684958036,2015,0.0025823111684958036
increased,0.0026079254690985435,0.0025823111684958036,2015,0.0025823111684958036
sector,0.00879149717884792,0.0025823111684958036,2015,0.0025823111684958036
fiscal,0.0038872851331846216,0.0024531956100710137,2015,0.0024531956100710137
services,0.006588043920292802,0.005385329619312906,2016,0.005385329619312906
sector,0.007645384302562017,0.004642525533890436,2016,0.004642525533890436
tax,0.00432425105056256,0.020612813370473538,2016,0.00432425105056256
development,0.0040260268401789345,0.0038997214484679664,2016,0.0038997214484679664
rate,0.0038769147349871223,0.004456824512534819,2016,0.0038769147349871223
financial,0.0028466856445709637,0.004271123491179201,2016,0.0028466856445709637
investment,0.002887352582350549,0.002785515320334262,2016,0.002785515320334262
public,0.003022909041615833,0.002321262766945218,2016,0.002321262766945218
increased,0.0023044598075098277,0.002692664809656453,2016,0.0023044598075098277
expenditure,0.0024400162667751117,0.0022284122562674096,2016,0.0022284122562674096
income,0.0021824589941710723,0.010863509749303621,2016,0.0021824589941710723
farmers,0.002074013826758845,0.0025998142989786446,2016,0.002074013826758845
tax,0.004816498757032579,0.016696634985872077,2017,0.004816498757032579
sector,0.005217192202014916,0.003981505265861803,2017,0.003981505265861803
rate,0.0036471280910637185,0.003467762650911893,2017,0.003467762650911893
capital,0.002943870208033495,0.002954020035961983,2017,0.002943870208033495
income,0.00282938636660997,0.01040328795273568,2017,0.00282938636660997
growth,0.007670417375376161,0.0025687130747495505,2017,0.0025687130747495505
development,0.0025513541802956955,0.003467762650911893,2017,0.0025513541802956955
fiscal,0.002984757294256182,0.0023118417672745952,2017,0.0023118417672745952
public,0.002575886432029308,0.0023118417672745952,2017,0.0023118417672745952
revenue,0.002306031662959571,0.0023118417672745952,2017,0.002306031662959571
financial,0.002175192987046971,0.004109940919599281,2017,0.002175192987046971
credit,0.0021261284835797463,0.0030824556896994607,2017,0.0021261284835797463
tax,0.0041454956044842325,0.01086815888213223,2018,0.0041454956044842325
development,0.003984192273570449,0.004657782378056669,2018,0.003984192273570449
investment,0.004871360593596258,0.0034933367835425022,2018,0.0034933367835425022
services,0.006032744576175498,0.0034933367835425022,2018,0.0034933367835425022
rate,0.0031292846197273974,0.004269633846551948,2018,0.0031292846197273974
growth,0.01077506250504073,0.0031051882520377796,2018,0.0031051882520377796
sector,0.006226308573272038,0.0031051882520377796,2018,0.0031051882520377796
income,0.002726026292442939,0.005822227972570837,2018,0.002726026292442939
agriculture,0.003435760948463586,0.0027170397205330574,2018,0.0027170397205330574
capital,0.0023711589644326157,0.0029758054082028723,2018,0.0023711589644326157
country,0.002193725300427454,0.004399016690386855,2018,0.002193725300427454
financial,0.0021292039680619406,0.0032345710958726873,2018,0.0021292039680619406
investment,0.005462016436159551,0.0037656440358843726,2019,0.0037656440358843726
rate,0.003683102826217679,0.0033226270904862113,2019,0.0033226270904862113
public,0.0036079374624173183,0.0031011186177871304,2019,0.0031011186177871304
economy,0.0028312287031469234,0.002768855908738509,2019,0.002768855908738509
growth,0.006764882742032472,0.002325838963340348,2019,0.002325838963340348
time,0.0035077169773501705,0.002325838963340348,2019,0.002325838963340348
tax,0.0019793545800761677,0.013401262598294385,2019,0.0019793545800761677
system,0.0026808979755462018,0.0018828220179421863,2019,0.0018828220179421863
country,0.001829023852475446,0.0022150847269908074,2019,0.001829023852475446
sector,0.0017789136099418722,0.0033226270904862113,2019,0.0017789136099418722
capital,0.0017538584886750853,0.0031011186177871304,2019,0.0017538584886750853
development,0.0017288033674082983,0.0022150847269908074,2019,0.0017288033674082983
sector,0.00742215416028586,0.004509074512456319,2020,0.004509074512456319
