doc_id,s_socialist,s_capitalist,s_globalist,s_nationalist,s_agrarian,s_industrial,axis_market,axis_nationalist,budget_year,fy_start,budget_type,fm_name,fm_party_family,words_clean,party,axis_market_z,axis_nationalist_z
bs196869,0.0020111561895624405,0.005804713625639167,0,0.0024044212210120974,0.003216116115389654,0.0017820255378739635,0.0037935574360767263,0.0024044212210120974,1968-69,1968,full,Morarji Desai,INC,9003,INC,0.7318221821834239,0.701431354958535
Budget_Speech_2026-27,0.00240483179502084,0.008656352259798784,8.012527452406664e-4,0.003135964775900702,0.004097958167839467,0.006383962655389751,0.0062515204647779436,0.0023347120306600353,2026-27,2026,full,Nirmala Sitharaman,BJP,7820,BJP,1.2245814834973932,0.6647377549528382
Budget_Speech_2024-25_interim,0.003686294287046168,0.008130095573594735,8.996388994825494e-4,0.00451602783382522,0.00863499281040932,0.0038095910361433363,0.004443801286548567,0.003616388934342671,2024-25,2024,interim,Nirmala Sitharaman,BJP,5030,BJP,0.8621795967176511,1.3393882479904409
bs194748,0.004852481675050785,9.779804404547576e-4,6.100496979626094e-4,8.066072786434399e-4,7.32167408441331e-5,6.458030950826807e-4,-0.0038745012345960273,1.9655758068083055e-4,1947-48,1947,full,R.K. Shanmukham Chetty,INC,9911,INC,-0.8054292690687884,-0.4607463274428634
bs195455,0.0017761832382019594,0.0015827722653578265,0.0033197490877559474,0.0037071413465344432,0.001855789917828407,0.004469978513154015,-1.9341097284413292e-4,3.873922587784959e-4,1954-55,1954,full,C.D. Deshmukh,INC,11286,INC,-0.06746395214822595,-0.3602945604668534
bs195960,0.0014080022336302787,0.012588417373355447,0.001724240075929988,1.1801720144147782e-4,0.0013432663025320555,0.005567243307955023,0.011180415139725168,-0.00160622287448851,1959-60,1959,full,Morarji Desai,INC,10641,INC,2.2126999653121864,-1.4096958789436467
bs196566_August_,0.001926942983237273,0.0024461627607939907,0.005164104144439578,0.0046406388257758556,0.0020133514543844433,0.007875713272886352,5.192197775567178e-4,-5.23465318663722e-4,1965-66,1965,special,T.T. Krishnamachari,INC,5211,INC,0.07540045490834503,-0.8397527702096981
bs197879,0.009005572534559537,0.0026720931539795136,8.666633896026863e-4,0.002630247216321235,0.008927755272947502,0.007195720555236875,-0.006333479380580024,0.0017635838267185486,1978-79,1978,full,H.M. Patel,Other,10918,Other,-1.2983920756744047,0.36410666511288714
bs195859,0.0043625042463458245,0.005248015719777291,0,4.734668852506413e-4,6.915228732302948e-4,0.008198295752322475,8.855114734314662e-4,4.734668852506413e-4,1958-59,1958,full,Morarji Desai,INC,7973,INC,0.14883265792716846,-0.3149865042628231
bs196667,0.002658667741155256,0.006443494073752454,0,5.048701244454385e-4,0.004820989380694678,0.005701559487516511,0.003784826332597198,5.048701244454385e-4,1966-67,1966,full,Sachin Chaudhuri,INC,9656,INC,0.7300718171860522,-0.29845643280341433
bs195657_November_,0.005673295496869635,0.008170706783719311,0,0.0040059520906057565,8.437215632521416e-4,0.0018167952429151322,0.0024974112868496766,0.0040059520906057565,1956-57,1956,special,T.T. Krishnamachari,INC,4477,INC,0.4719777242171891,1.544446929072248
bs201920_I_,0.010505224936808943,0.006092109051193355,0,0,0.013771465648352323,0.0034198222827905404,-0.004413115885615588,0,2019-20,2019,interim,Piyush Goyal,BJP,8003,BJP,-0.9134078578493149,-0.5642105221518262
bs199697_I_,0.016664197409671188,0.018275483698485123,0,0.007051100141353821,0.006018971933714323,0.0017557847106388113,0.0016112862888139345,0.007051100141353821,1996-97,1996,interim,Manmohan Singh,INC,5915,INC,0.29433211693575745,3.1473552969352796
bs196263_I_,0.0016812563586415953,5.32284004319672e-4,0,0,0.0016370854657565756,0.006214389290004944,-0.0011489723543219232,0,1962-63,1962,interim,Morarji Desai,INC,4097,INC,-0.25902979475913357,-0.5642105221518262
bs196768_I_,0.01161717708055151,0.005383235618685018,0,0,0.014681693752693424,0.003223816790045395,-0.006233941461866491,0,1967-68,1967,interim,Morarji Desai,INC,4690,INC,-1.2784372453100752,-0.5642105221518262
bs198081_I_,0.009296658863187892,0.002643017928612997,0,0.0014096203692582823,0.0183712599781439,0.007161591446214026,-0.0066536409345748955,0.0014096203692582823,1980-81,1980,interim,H.M. Patel,Other,3360,Other,-1.3625763542058313,0.177786992497491
bs200405_I_,0.0037490289175556614,0.005742976529317722,0,0,0.007530057258204633,0.0032310068300115138,0.0019939476117620605,0,2004-05,2004,interim,Jaswant Singh,BJP,4889,BJP,0.3710460153687345,-0.5642105221518262
bs195253,0.004469017671225315,6.91815659598241e-4,0,0,0.002068899213588055,0.002656820112777099,-0.0037772020116270746,0,1952-53,1952,full,C.D. Deshmukh,INC,4405,INC,-0.7859232404716425,-0.5642105221518262
bs197172december,0.002908547267909937,0.0037237197476599417,0,0.002566084027678944,1.9592620479590562e-4,5.007308984265237e-4,8.151724797500048e-4,0.002566084027678944,1971-72,1971,full,Yashwantrao Chavan,INC,2030,INC,0.1347314721172586,0.7865276002838992
bs199192_I_,0.01574105506711925,0.012023786353928955,0,0,6.150100636139522e-4,0,-0.003717268713190296,0,1991-92,1991,interim,Yashwant Sinha,Other,2408,Other,-0.7739081328730739,-0.5642105221518262
bs195758_I_,0.0023401021398476636,0.0010836922741877418,0,0,0,0.004090122616859155,-0.0012564098656599218,0,1957-58,1957,interim,T.T. Krishnamachari,INC,2073,INC,-0.28056829326527166,-0.5642105221518262
bs195253_I_,0.010553682457647338,9.114101376641188e-4,0,0,0.004858601401120022,2.6224688624427593e-4,-0.009642272319983219,0,1952-53,1952,interim,C.D. Deshmukh,INC,1883,INC,-1.9617212136535198,-0.5642105221518262
bs197778_I_,0.01800527076860558,0,0,0,8.518715368366701e-4,0,-0.01800527076860558,0,1977-78,1977,interim,NA,NA,766,Unknown,-3.6382904802834015,-0.5642105221518262
